Dale Cooper
Harry Truman
Shelly Johnson
Bobby Briggs
Benjamin Horne
Donna Hayward
Audrey Horne
Will Hayward
Norma Jennings
James Hurley
Ed Hurley
Pete Martell
Leland Palmer
Josie Packard
Catherine Martell
Lucy MoranSSSS
Laura Palmer
Maddy Ferguson
Carrie Page
Lawrence Jacoby
Leo Johnson
Eileen Hayward
Andy Brennan
Mike Nelson
Tommy "Hawk" Hill
Tommy Hawk
Tommy Hill
Sarah Palmer
Windom Earle
Ronette Pulaski
Phillip Jeffries
Albert Rosenfield
Teresa Banks
Annie Blackburn
Chester Desmond
Gordon Cole
Woodsman
Carl Rodd
Sam Stanley
Harold Smith
Kyle MacLachlan
Michael Ontkean
Mädchen Amick
Dana Ashbrook
Richard Beymer
Lara Flynn Boyle
Moira Kelly
Sherilyn Fenn
Warren Frost
Peggy Lipton
James Marshall
Everett McGill
Jack Nance
Ray Wise
Joan Chen
Piper Laurie
Kimmy Robertson
Sheryl Lee
Russ Tamblyn
Eric Da Re
Mary Jo Deschanel
Harry Goaz
Gary Hershberger
Michael Horse
Grace Zabriskie
Kenneth Welsh
Phoebe Augustine
David Bowie
Miguel Ferrer
Pamela Gidley
Heather Graham
Chris Isaak
David Lynch
Jürgen Prochnow
Harry Dean Stanton
Kiefer Sutherland
Lenny Von Dohlen
